Package             Version
------------------- -----------
aiodns              1.1.1
aiohttp             3.6.2
aiolimiter          1.0.0b1
algorithms          0.1.4
anki                2.1.26
ankirspy            2.1.26
appdirs             1.4.4
aqt                 2.1.26
argon2-cffi         20.1.0
asn1crypto          1.4.0
async-generator     1.10
async-timeout       3.0.1
attrdict            2.0.1
attrs               20.2.0
Automat             20.2.0
Babel               2.8.0
backcall            0.2.0
base58              2.0.1
bcrypt              3.2.0
beautifulsoup4      4.9.3
bitarray            1.5.3
bleach              3.2.1
borgbackup          1.1.14
brz-etckeeper       0.0.0
btrfsutil           1.2.0
CacheControl        0.12.6
cached-property     1.5.2
caffeine-ng         3.4.2
ccxt                1.36.1
certifi             2020.6.20
cffi                1.14.3
chardet             3.0.4
click               7.1.2
colorama            0.4.3
constantly          15.1.0
contextlib2         0.6.0.post1
cryptoapi           0.1.22
cryptography        3.1.1
cssselect           1.1.0
cycler              0.10.0
cytoolz             0.11.0
decorator           4.4.2
defusedxml          0.6.0
discord.py          1.5.0
distlib             0.3.1
distro              1.5.0
docker              4.3.1
docker-compose      1.27.4
docker-pycreds      0.4.0
dockerpty           0.4.1
docopt              0.6.2
docutils            0.16
entrypoints         0.3
eth-abi             2.1.1
eth-account         0.5.3
eth-hash            0.2.0
eth-keyfile         0.5.1
eth-keys            0.3.3
eth-rlp             0.2.0
eth-typing          2.2.2
eth-utils           1.9.5
ewmh                0.1.6
feedfinder2         0.0.4
feedparser          6.0.1
filelock            3.0.12
flake8              3.8.4
greenlet            0.4.15
hexbytes            0.2.1
html5lib            1.1
hyperlink           20.0.1
idna                2.10
importlib-metadata  1.6.1
incremental         17.5.0
ipfshttpclient      0.6.1
ipykernel           5.3.4
ipython             7.18.1
ipython-genutils    0.2.0
itemadapter         0.1.1
itemloaders         1.0.3
jedi                0.17.2
jeepney             0.4.3
jieba3k             0.35.1
Jinja2              2.11.2
jmespath            0.10.0
joblib              0.17.0
json5               0.9.5
jsonschema          3.2.0
jupyter-client      6.1.7
jupyter-core        4.6.3
jupyterlab          2.2.8
jupyterlab-pygments 0.1.2
jupyterlab-server   1.2.0
keyring             21.4.0
kiwisolver          1.2.0
llfuse              1.3.6
lockfile            0.12.2
louis               3.15.0
lru-dict            1.1.6
lxml                4.5.2
Markdown            3.2.2
MarkupSafe          1.1.1
matplotlib          3.3.2
mccabe              0.6.1
mido                1.2.9
mistune             0.8.4
msgpack             1.0.0
multiaddr           0.0.9
multidict           4.7.6
nbclient            0.5.0
nbconvert           6.0.7
nbformat            5.0.7
neovim-remote       2.4.0
nest-asyncio        1.4.1
netaddr             0.8.0
networkx            2.5
newspaper3k         0.2.8
nltk                3.5
notebook            6.1.4
numpy               1.19.2
ordered-set         4.0.2
packaging           20.4
pandas              1.1.3
pandocfilters       1.4.2
paramiko            2.7.2
parsel              1.6.0
parsimonious        0.8.1
parso               0.7.1
pbr                 5.5.0
pep517              0.8.2
pexpect             4.8.0
pickleshare         0.7.5
Pillow              7.2.0
pip                 20.1.1
pkginfo             1.5.0.1
ply                 3.11
progress            1.5
prometheus-client   0.8.0
prompt-toolkit      3.0.7
Protego             0.1.16
protobuf            3.13.0
psutil              5.7.2
ptyprocess          0.6.0
pyasn1              0.4.8
pyasn1-modules      0.2.8
PyAudio             0.2.11
pycares             3.1.1
pycodestyle         2.6.0
pycparser           2.20
pycryptodome        3.9.8
PyDispatcher        2.0.5
pyflakes            2.2.0
Pygments            2.7.1
PyGObject           3.38.0
PyHamcrest          2.0.2
PyNaCl              1.4.0
pynvim              0.4.1
pyOpenSSL           19.1.0
pyparsing           2.4.7
pyPEG2              2.15.2
PyQt5               5.15.1
PyQt5-sip           12.8.1
PyQtWebEngine       5.15.1
pyrsistent          0.17.3
python-dateutil     2.8.1
python-dotenv       0.14.0
python-rtmidi       1.4.5
python-xlib         0.27
pytz                2020.1
pyxdg               0.26
PyYAML              5.3.1
pyzmq               19.0.2
queuelib            1.5.0
qutebrowser         1.13.1
ranger-fm           1.9.3
readme-renderer     27.0
regex               2020.10.11
requests            2.24.0
requests-file       1.5.1
requests-toolbelt   0.9.1
resolvelib          0.4.0
retrying            1.3.3
rfc3986             1.4.0
rlp                 1.2.0
safeeyes            2.0.9
Scrapy              2.3.0
scrapy-splash       0.7.2
SecretStorage       3.1.2
Send2Trash          1.5.0
service-identity    18.1.0
setproctitle        1.1.10
setuptools          50.3.0
sgmllib3k           1.0.0
six                 1.15.0
soupsieve           2.0.1
SQLAlchemy          1.3.19
stevedore           3.2.2
terminado           0.9.1
testpath            0.4.4
texttable           1.6.3
tinysegmenter       0.4
tldextract          2.2.3
toml                0.10.1
toolz               0.11.1
tornado             6.0.4
tqdm                4.50.2
traitlets           5.0.4
twine               3.2.0
Twisted             20.3.0
typing-extensions   3.7.4.3
ufw                 0.36
unsync              1.2.1
urllib3             1.25.10
uvloop              0.14.0
varint              1.0.2
virtualenv          20.0.33
virtualenv-clone    0.5.4
virtualenvwrapper   4.8.4
w3lib               1.22.0
wcwidth             0.2.5
web3                5.12.1
webencodings        0.5.1
websocket-client    0.57.0
websockets          8.1
wheel               0.35.1
yarl                1.1.0
zipp                3.3.0
zope.interface      5.1.2
